account_id,region,db_instance_identifier,db_name,engine,engine_version,db_instance_class,instance_family,multi_az,storage_type,allocated_storage_gb,max_allocated_storage_gb,storage_encrypted,kms_key_id,publicly_accessible,vpc_id,subnet_group_name,environment,application_name,avg_cpu_30d,avg_freeable_memory_30d_mb,avg_free_storage_gb,instance_create_time,days_since_create,backup_retention_period,latest_restorable_time,rightsizing_action,recommended_instance_class,recommendation_reason,storage_recommendation
163799539090,us-west-2,clearhouse,,mariadb,10.11.13,db.t3.micro,db.t3,Yes,gp3,250,1000,Yes,arn:aws:kms:us-west-2:163799539090:key/2fed0b3e-6080-42b6-95f8-ad464732f925,No,vpc-0fefdc45dcc9cdf56,db-subnet-group-stage,NonProd,Unknown,2.87,1424.85,240.11,2023-04-10 19:23:16,969,1,2025-12-04 19:55:00,Keep,db.t3.micro,Low CPU (2.9%) but already smallest type,
163799539090,us-west-2,cortado-stage,,mysql,8.0.42,db.m5.large,db.m5,Yes,gp2,200,0,No,,No,vpc-0fefdc45dcc9cdf56,cortado-stage-db-subnet-group,Prod,Unknown,2.50,6269.72,191.61,2025-05-28 15:49:38,190,35,2025-12-04 20:00:00,Keep,db.m5.large,Low CPU (2.5%) but already smallest type,Consider converting gp2→gp3
163799539090,us-west-2,domain-services,,aurora-postgresql,15.12,db.serverless,db,No,aurora,1,0,Yes,arn:aws:kms:us-west-2:163799539090:key/2fed0b3e-6080-42b6-95f8-ad464732f925,No,vpc-0fefdc45dcc9cdf56,aurora-public-subnet-group,NonProd,Unknown,2.88,171187.99,,2024-06-03 18:56:28,549,5,,Downsize,db.serverless,Low CPU (2.9%) but no smaller type available,
163799539090,us-west-2,intappactlog,intappactlog,aurora-postgresql,15.12,db.serverless,db,No,aurora,1,0,Yes,arn:aws:kms:us-west-2:163799539090:key/2fed0b3e-6080-42b6-95f8-ad464732f925,No,vpc-0fefdc45dcc9cdf56,intappactlog-public-subnet-group,NonProd,Unknown,12.88,6419.81,,2025-08-14 16:59:35,112,5,,Downsize,db.serverless,Low CPU (12.9%) but no smaller type available,
163799539090,us-west-2,intctrl,,postgres,14.17,db.t3.large,db.t3,Yes,gp3,250,0,Yes,arn:aws:kms:us-west-2:163799539090:key/2fed0b3e-6080-42b6-95f8-ad464732f925,No,vpc-0fefdc45dcc9cdf56,public-db-subnet-group-stage,NonProd,Unknown,5.10,4875.83,240.30,2022-10-17 22:29:07,1143,1,2025-12-04 19:59:35,Downsize,db.t3.medium,Low CPU utilization (5.1%),
163799539090,us-west-2,laa-authz,,postgres,13.20,db.t4g.small,db.t4g,No,gp3,100,0,Yes,arn:aws:kms:us-west-2:163799539090:key/2fed0b3e-6080-42b6-95f8-ad464732f925,No,vpc-0fefdc45dcc9cdf56,db-subnet-group-stage,NonProd,Unknown,4.56,1098.91,95.02,2024-10-15 18:14:09,415,1,2025-12-04 19:59:34,Downsize,db.t4g.small,Low CPU (4.6%) but no smaller type available,
163799539090,us-west-2,lad,,postgres,13.20,db.t4g.medium,db.t4g,No,gp3,100,0,Yes,arn:aws:kms:us-west-2:163799539090:key/2fed0b3e-6080-42b6-95f8-ad464732f925,No,vpc-0fefdc45dcc9cdf56,db-subnet-group-stage,NonProd,Unknown,4.43,2428.80,94.42,2022-06-16 19:37:40,1267,1,2025-12-04 19:59:37,Downsize,db.t4g.medium,Low CPU (4.4%) but no smaller type available,
163799539090,us-west-2,marketstandard,,postgres,13.20,db.t4g.small,db.t4g,No,gp3,100,0,Yes,arn:aws:kms:us-west-2:163799539090:key/2fed0b3e-6080-42b6-95f8-ad464732f925,No,vpc-0fefdc45dcc9cdf56,db-subnet-group-stage,NonProd,Unknown,4.26,1141.73,94.84,2024-03-07 16:45:51,637,1,2025-12-04 19:54:33,Downsize,db.t4g.small,Low CPU (4.3%) but no smaller type available,
163799539090,us-west-2,ms-bankch-validation,,postgres,13.20,db.t4g.small,db.t4g,No,gp3,100,0,Yes,arn:aws:kms:us-west-2:163799539090:key/2fed0b3e-6080-42b6-95f8-ad464732f925,No,vpc-0fefdc45dcc9cdf56,db-subnet-group-stage,NonProd,Unknown,4.31,1139.47,95.03,2023-03-27 20:17:37,982,1,2025-12-04 19:54:34,Downsize,db.t4g.small,Low CPU (4.3%) but no smaller type available,
163799539090,us-west-2,ms-bank-validation,,postgres,13.20,db.t4g.small,db.t4g,No,gp3,100,0,Yes,arn:aws:kms:us-west-2:163799539090:key/2fed0b3e-6080-42b6-95f8-ad464732f925,No,vpc-0fefdc45dcc9cdf56,db-subnet-group-stage,NonProd,Unknown,4.19,1137.58,95.02,2022-07-01 16:53:13,1252,1,2025-12-04 19:59:36,Downsize,db.t4g.small,Low CPU (4.2%) but no smaller type available,
163799539090,us-west-2,ms-brokerage-accounts,,postgres,13.20,db.t4g.small,db.t4g,No,gp3,100,0,Yes,arn:aws:kms:us-west-2:163799539090:key/2fed0b3e-6080-42b6-95f8-ad464732f925,No,vpc-0fefdc45dcc9cdf56,db-subnet-group-stage,NonProd,Unknown,4.22,1138.99,94.99,2023-06-20 19:10:03,898,1,2025-12-04 19:59:35,Downsize,db.t4g.small,Low CPU (4.2%) but no smaller type available,
163799539090,us-west-2,ms-deal-authorization,,aurora-postgresql,15.12,db.serverless,db,No,aurora,1,0,Yes,arn:aws:kms:us-west-2:163799539090:key/2fed0b3e-6080-42b6-95f8-ad464732f925,No,vpc-0fefdc45dcc9cdf56,ms-deal-authorization-public-subnet-group,NonProd,Unknown,13.57,6173.76,,2025-07-12 04:33:08,145,5,,Downsize,db.serverless,Low CPU (13.6%) but no smaller type available,
163799539090,us-west-2,ms-deal-contacts,,postgres,13.20,db.t4g.small,db.t4g,No,gp3,100,0,Yes,arn:aws:kms:us-west-2:163799539090:key/2fed0b3e-6080-42b6-95f8-ad464732f925,No,vpc-0fefdc45dcc9cdf56,db-subnet-group-stage,NonProd,Unknown,4.36,1052.08,94.91,2022-06-07 21:26:32,1275,1,2025-12-04 19:59:33,Downsize,db.t4g.small,Low CPU (4.4%) but no smaller type available,
163799539090,us-west-2,ms-deal-escrows,,postgres,13.20,db.t4g.small,db.t4g,No,gp3,100,0,Yes,arn:aws:kms:us-west-2:163799539090:key/2fed0b3e-6080-42b6-95f8-ad464732f925,No,vpc-0fefdc45dcc9cdf56,db-subnet-group-stage,NonProd,Unknown,4.30,1097.77,93.09,2022-06-07 21:26:08,1275,1,2025-12-04 19:54:36,Downsize,db.t4g.small,Low CPU (4.3%) but no smaller type available,
163799539090,us-west-2,ms-deal-kyc,,postgres,13.20,db.t4g.small,db.t4g,No,gp3,100,0,Yes,arn:aws:kms:us-west-2:163799539090:key/2fed0b3e-6080-42b6-95f8-ad464732f925,No,vpc-0fefdc45dcc9cdf56,db-subnet-group-stage,NonProd,Unknown,4.41,1125.94,94.96,2023-07-11 21:10:36,876,1,2025-12-04 19:59:30,Downsize,db.t4g.small,Low CPU (4.4%) but no smaller type available,
