account_id,region,db_instance_identifier,db_name,engine,engine_version,db_instance_class,instance_family,multi_az,storage_type,allocated_storage_gb,max_allocated_storage_gb,storage_encrypted,kms_key_id,publicly_accessible,vpc_id,subnet_group_name,environment,application_name,avg_cpu_30d,avg_freeable_memory_30d_mb,avg_free_storage_gb,instance_create_time,days_since_create,backup_retention_period,latest_restorable_time,rightsizing_action,recommended_instance_class,recommendation_reason,storage_recommendation
015815251546,us-west-2,clearhouse,,mariadb,10.11.13,db.t3.micro,db.t3,Yes,gp3,250,1000,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,db-subnet-group-prod,Prod,Unknown,3.70,1133.16,230.42,2023-04-20 20:25:18,958,1,2025-12-04 19:45:00,Keep,db.t3.micro,Low CPU (3.7%) but already smallest type,
015815251546,us-west-2,cortado-prod,,mysql,8.0.42,db.m5.4xlarge,db.m5,Yes,gp2,500,0,No,,No,vpc-0b045a37ce0d8209a,cortado-prod-db-subnet-group,Prod,Unknown,0.44,56662.93,483.87,2025-08-29 04:00:39,97,35,2025-12-04 19:45:00,Downsize,db.m5.2xlarge,Low CPU utilization (0.4%),Consider converting gp2→gp3
015815251546,us-west-2,data-analytics,,aurora-postgresql,15.12,db.serverless,db,No,aurora,1,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,data-analytics-public-subnet-group,Prod,Unknown,13.82,6156.88,,2025-07-22 14:29:12,135,5,,Downsize,db.serverless,Low CPU (13.8%) but no smaller type available,
015815251546,us-west-2,domain-services,,aurora-postgresql,15.12,db.serverless,db,No,aurora,1,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,aurora-public-subnet-group,Prod,Unknown,3.55,159894.96,,2024-06-03 18:20:27,549,5,,Downsize,db.serverless,Low CPU (3.6%) but no smaller type available,
015815251546,us-west-2,intappactlog,intappactlog,aurora-postgresql,15.12,db.serverless,db,No,aurora,1,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,intappactlog-public-subnet-group,Prod,Unknown,13.05,6428.01,,2025-08-14 17:33:51,112,5,,Downsize,db.serverless,Low CPU (13.0%) but no smaller type available,
015815251546,us-west-2,intctrl,,postgres,14.17,db.t3.large,db.t3,Yes,gp3,250,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,public-db-subnet-group-prod,Prod,Unknown,4.79,4877.13,240.21,2022-10-17 23:00:49,1143,1,2025-12-04 19:44:33,Downsize,db.t3.medium,Low CPU utilization (4.8%),
015815251546,us-west-2,laa-authz,,postgres,13.20,db.t4g.small,db.t4g,Yes,gp3,100,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,db-subnet-group-prod,Prod,Unknown,4.96,1093.35,95.00,2024-10-15 22:21:34,414,1,2025-12-04 19:44:35,Downsize,db.t4g.small,Low CPU (5.0%) but no smaller type available,
015815251546,us-west-2,lad,,postgres,13.20,db.t4g.medium,db.t4g,Yes,gp3,100,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,db-subnet-group-prod,Prod,Unknown,5.16,2178.61,94.25,2022-06-16 19:53:51,1266,1,2025-12-04 19:44:37,Downsize,db.t4g.medium,Low CPU (5.2%) but no smaller type available,
015815251546,us-west-2,lifescience,,aurora-postgresql,15.12,db.serverless,db,No,aurora,1,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,aurora-public-subnet-group,Prod,Unknown,3.31,29110.21,,2024-08-20 15:57:07,471,5,,Downsize,db.serverless,Low CPU (3.3%) but no smaller type available,
015815251546,us-west-2,marketstandard,,postgres,13.20,db.t4g.small,db.t4g,Yes,gp3,100,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,db-subnet-group-prod,Prod,Unknown,4.46,717.58,94.14,2024-03-07 16:59:37,637,1,2025-12-04 19:44:33,Downsize,db.t4g.small,Low CPU (4.5%) but no smaller type available,
015815251546,us-west-2,ms-bankch-validation,,postgres,13.20,db.t4g.small,db.t4g,Yes,gp3,100,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,db-subnet-group-prod,Prod,Unknown,4.48,1134.15,95.00,2023-03-27 21:12:32,982,1,2025-12-04 19:44:34,Downsize,db.t4g.small,Low CPU (4.5%) but no smaller type available,
015815251546,us-west-2,ms-bank-validation,,postgres,13.20,db.t4g.small,db.t4g,Yes,gp3,100,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,db-subnet-group-prod,Prod,Unknown,4.49,1128.55,95.00,2022-07-01 17:11:50,1252,1,2025-12-04 19:44:37,Downsize,db.t4g.small,Low CPU (4.5%) but no smaller type available,
015815251546,us-west-2,ms-brokerage-accounts,,postgres,13.20,db.t4g.small,db.t4g,Yes,gp3,100,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,db-subnet-group-prod,Prod,Unknown,4.52,1135.28,95.00,2023-06-20 19:41:07,898,1,2025-12-04 19:44:33,Downsize,db.t4g.small,Low CPU (4.5%) but no smaller type available,
015815251546,us-west-2,ms-deal-authorization,,aurora-postgresql,15.12,db.serverless,db,No,aurora,1,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,ms-deal-authorization-public-subnet-group,Prod,Unknown,13.47,6173.61,,2025-07-12 04:34:33,145,5,,Downsize,db.serverless,Low CPU (13.5%) but no smaller type available,
015815251546,us-west-2,ms-deal-contacts,,postgres,13.20,db.t4g.small,db.t4g,Yes,gp3,100,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,db-subnet-group-prod,Prod,Unknown,4.38,1137.38,95.01,2022-06-07 20:59:23,1275,1,2025-12-04 19:44:34,Downsize,db.t4g.small,Low CPU (4.4%) but no smaller type available,
015815251546,us-west-2,ms-deal-escrows,,postgres,13.20,db.t4g.small,db.t4g,Yes,gp3,100,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,db-subnet-group-prod,Prod,Unknown,4.64,914.76,92.70,2022-06-07 20:58:56,1275,1,2025-12-04 19:44:37,Downsize,db.t4g.small,Low CPU (4.6%) but no smaller type available,
015815251546,us-west-2,ms-deal-kyc,,postgres,13.20,db.t4g.small,db.t4g,Yes,gp3,100,0,Yes,arn:aws:kms:us-west-2:015815251546:key/d924ea64-b910-4f81-a4f2-0d7fcfffe3b6,No,vpc-0b045a37ce0d8209a,db-subnet-group-prod,Prod,Unknown,4.76,1111.18,94.97,2023-07-12 17:02:03,876,1,2025-12-04 19:44:33,Downsize,db.t4g.small,Low CPU (4.8%) but no smaller type available,
