AccountName,AccountId,Environment,Region,VolumeId,VolumeType,SizeGiB,Encrypted,Iops,Throughput,State,IsUnattached,AttachedInstanceId,AttachedInstanceType,AttachedInstanceArn,AttachedInstanceLaunchTime,IsRootVolume
Charles Mount,198161015548,prod-finance,us-east-1,vol-5971d4b9,gp3,20,False,3000,125,in-use,False,i-efc4fb3a,t2.micro,arn:aws:ec2:us-east-1:198161015548:instance/i-efc4fb3a,2017-05-26T16:47:46+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-077746cc2c9ce90ab,sc1,2048,False,,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-01746af0bc322a349,gp3,3000,True,9000,250,in-use,False,i-be4f7601,c4.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-be4f7601,2021-08-02T16:44:29+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0ebd5c9264f39f857,gp2,30,False,100,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-721b1ebb,gp3,100,False,3000,125,in-use,False,i-27e568ce,c4.large,arn:aws:ec2:us-east-1:198161015548:instance/i-27e568ce,2023-04-19T06:19:49+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-ed0e98a8,gp3,10,False,3000,125,in-use,False,i-a409368e,c3.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-a409368e,2021-06-04T23:51:24+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0d0629a60b9c638ca,gp3,30,False,3000,125,available,True,,,,,False
Charles Mount,198161015548,production,us-east-1,vol-00820a573c6962d5e,gp3,10,True,3000,125,in-use,False,i-0cf3b307c22a8235f,t3.small,arn:aws:ec2:us-east-1:198161015548:instance/i-0cf3b307c22a8235f,2020-11-29T00:39:10+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-00a75f56cad3430d4,gp2,30,False,100,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-07d253eb1ff29fc21,gp3,100,False,3000,125,in-use,False,i-0e002527a16392fa1,m3.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-0e002527a16392fa1,2017-01-18T19:46:52+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-96259a8e,gp3,1000,False,3000,250,in-use,False,i-9ab42e7b,m3.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-9ab42e7b,2023-04-03T15:33:05+00:00,False
Charles Mount,198161015548,Ops,us-east-1,vol-0926790e2e6b79073,gp3,20,True,3000,125,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0c417555ae0e79846,gp3,2000,False,6000,250,in-use,False,i-037dd9ecaff681075,m4.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-037dd9ecaff681075,2017-05-22T18:37:58+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-c7852427,gp3,20,False,3000,125,in-use,False,i-8bc9cd5e,c4.large,arn:aws:ec2:us-east-1:198161015548:instance/i-8bc9cd5e,2018-04-11T02:20:30+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-06b1b51de0a896a05,gp3,6144,False,3000,125,in-use,False,i-19859fc9,m3.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-19859fc9,2025-12-02T18:21:40+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-a1bd7969,gp3,100,False,3000,125,in-use,False,i-a9752240,m3.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-a9752240,2023-09-14T22:04:17+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-87f5ffcf,gp3,20,False,3000,125,in-use,False,i-85cebc6f,m3.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-85cebc6f,2025-02-06T19:34:30+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-0c1162e41668f64ae,sc1,6144,False,,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-6ef1632b,gp3,1000,False,3000,250,in-use,False,i-a12f2a8b,m3.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-a12f2a8b,2023-09-21T19:46:34+00:00,False
