account_id,region,volume_id,volume_name,environment,volume_type,size_gb,iops_provisioned,throughput_mbps,state,is_attached,attached_instance_id,attached_instance_name,attachment_device,volume_classification,latest_snapshot_id,latest_snapshot_time,days_since_last_snapshot,encrypted,kms_key_id,multi_attach_enabled,rightsizing_recommendation
508093650048,us-west-2,vol-0474df3e8587beae3,,Prod,gp2,1,100,0,in-use,Yes,i-06e6ecd513b6a4276,,/dev/xvdba,Data/External,,,,Yes,arn:aws:kms:us-west-2:508093650048:key/564dbe19-5a09-4077-bbe9-e585fbe604d8,No,Convert gp2→gp3
508093650048,us-west-2,vol-027c37258212ebacc,,Prod,gp2,20,100,0,in-use,Yes,i-06e6ecd513b6a4276,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:508093650048:key/564dbe19-5a09-4077-bbe9-e585fbe604d8,No,Convert gp2→gp3
508093650048,us-west-2,vol-0200a330149267439,,Prod,gp2,20,100,0,in-use,Yes,i-04789c1f303ff678c,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:508093650048:key/564dbe19-5a09-4077-bbe9-e585fbe604d8,No,Convert gp2→gp3
508093650048,us-west-2,vol-092727ddee71aaceb,,Prod,gp2,20,100,0,in-use,Yes,i-08ff0c47e917057dd,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:508093650048:key/564dbe19-5a09-4077-bbe9-e585fbe604d8,No,Convert gp2→gp3
508093650048,us-west-2,vol-0ab926a8f1dabc607,,Prod,gp2,20,100,0,in-use,Yes,i-025d7909b3ad9cab2,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:508093650048:key/564dbe19-5a09-4077-bbe9-e585fbe604d8,No,Convert gp2→gp3
508093650048,us-west-2,vol-0d277d49f1ebf2f49,,Prod,gp2,1,100,0,available,No,,,,Unattached,,,,Yes,arn:aws:kms:us-west-2:508093650048:key/564dbe19-5a09-4077-bbe9-e585fbe604d8,No,Convert gp2→gp3
508093650048,us-west-2,vol-0a3f7c3bf4a2d00c3,,Prod,gp3,8,3000,125,in-use,Yes,i-0bdb08e679c170931,Gitlab-runner,/dev/sda1,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:508093650048:key/564dbe19-5a09-4077-bbe9-e585fbe604d8,No,Keep as is
508093650048,us-west-2,vol-03964a0da8658300a,,Prod,gp2,2,100,0,available,No,,,,Unattached,,,,No,,No,Convert gp2→gp3
508093650048,us-west-2,vol-0074713682a55d708,,Prod,gp2,75,225,0,in-use,Yes,i-0195f4274d8ac7778,qa-muhimbi-node-1,/dev/sda1,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:508093650048:key/564dbe19-5a09-4077-bbe9-e585fbe604d8,No,Convert gp2→gp3
508093650048,us-west-2,vol-05e199eecca4bb331,,Prod,gp2,20,100,0,in-use,Yes,i-095c9ec69e1803dec,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:508093650048:key/564dbe19-5a09-4077-bbe9-e585fbe604d8,No,Convert gp2→gp3
508093650048,us-west-2,vol-082dd2c630ac17c21,,Prod,gp2,20,100,0,in-use,Yes,i-0077a881295d01ad6,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:508093650048:key/564dbe19-5a09-4077-bbe9-e585fbe604d8,No,Convert gp2→gp3
508093650048,us-west-2,vol-000af593de0d6809b,,Prod,gp2,75,225,0,in-use,Yes,i-03897f06ba90572a4,qa-muhimbi-node-0,/dev/sda1,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:508093650048:key/564dbe19-5a09-4077-bbe9-e585fbe604d8,No,Convert gp2→gp3
