account_id,region,instance_id,instance_name,environment,state,platform,instance_type,instance_family,vcpu_count,cpu_architecture,launch_time,days_since_launch,root_volume_size_gb,root_volume_type,has_instance_store,private_ips,public_ip,subnet_id,vpc_id,security_group_ids,autoscaling_group_name,avg_cpu_30d,cpu_data_points_count_30d,purchase_option,rightsizing_action,recommended_instance_type,recommendation_reason,ami_id,ami_name,ami_description,ami_creation_date,ami_age_days,ami_owner_id,ami_owner_alias,ami_platform,ami_platform_details,ami_architecture,ami_virtualization_type,ami_hypervisor,ami_state,ami_image_type,ami_root_device_type,ami_root_device_name,ami_sriov_net_support,ami_ena_support,ami_tpm_support,ami_boot_mode,ami_imds_support,ami_deprecation_time,ami_is_public,ami_category,ami_security_risk_level,ami_security_risk_reasons,ami_compliance_status,ami_update_recommendation,ami_block_device_count,ami_block_devices_details,ami_tags_count,ami_tags_details,ami_usage_operation,ami_image_location
198161015548,us-east-1,i-a409368e,puppetmaster.old,Prod,stopped,Linux/Unix,c3.xlarge,c3,4,x86_64,2021-06-04 23:51:24,1643,100,gp3,No,10.0.0.121,52.71.155.107,subnet-c7270e81,vpc-ee3fcb8b,sg-20572f45,,,0,OnDemand,NoData,c3.xlarge,Insufficient CloudWatch data,ami-12e4177a,ubuntu/images/ebs/ubuntu-lucid-10.04-amd64-server-20140606,No description,2014-06-08T04:09:12.000Z,4209,099720109477,amazon,Linux/Unix,Linux/UNIX,x86_64,paravirtual,xen,available,machine,ebs,/dev/sda1,Unknown,False,Unknown,Unknown,Unknown,2022-06-30T23:59:59.000Z,True,Ubuntu Linux,High,AMI is 4209 days old (>1 year); Public AMI - verify source; AMI is deprecated; Missing Enhanced Networking (ENA) support; Not using IMDSv2 (Instance Metadata Service v2),Non-Compliant: Deprecated AMI,URGENT: Replace deprecated AMI immediately,2,/dev/sda1:standard:8GB:Unencrypted; /dev/sdb:Unknown,0,No tags,RunInstances,amazon/ubuntu/images/ebs/ubuntu-lucid-10.04-amd64-server-20140606
198161015548,us-east-1,i-a12f2a8b,ops-search-d,Prod,running,Linux/Unix,m3.xlarge,m3,4,x86_64,2023-09-21 19:46:34,804,100,gp3,No,10.0.0.40,54.210.71.106,subnet-c7270e81,vpc-ee3fcb8b,sg-d105d0b4,,3.07,721,OnDemand,Downsize,m3.xlarge,Low CPU (3.1%) but no smaller type available,ami-12e4177a,ubuntu/images/ebs/ubuntu-lucid-10.04-amd64-server-20140606,No description,2014-06-08T04:09:12.000Z,4209,099720109477,amazon,Linux/Unix,Linux/UNIX,x86_64,paravirtual,xen,available,machine,ebs,/dev/sda1,Unknown,False,Unknown,Unknown,Unknown,2022-06-30T23:59:59.000Z,True,Ubuntu Linux,High,AMI is 4209 days old (>1 year); Public AMI - verify source; AMI is deprecated; Missing Enhanced Networking (ENA) support; Not using IMDSv2 (Instance Metadata Service v2),Non-Compliant: Deprecated AMI,URGENT: Replace deprecated AMI immediately,2,/dev/sda1:standard:8GB:Unencrypted; /dev/sdb:Unknown,0,No tags,RunInstances,amazon/ubuntu/images/ebs/ubuntu-lucid-10.04-amd64-server-20140606
198161015548,us-east-1,i-85cebc6f,production-cache-a,Prod,running,Linux/Unix,m3.medium,m3,1,x86_64,2025-02-06 19:34:30,300,20,gp3,No,10.1.1.41,,subnet-a0a014d7,vpc-239a0f46,"sg-9ba1b9fe,sg-f7a1b992,sg-11abb374",,1.09,721,OnDemand,Downsize,m3.medium,Low CPU (1.1%) but no smaller type available,Unknown,AMI not found or deleted,AMI not found or deleted,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,Unknown,Unknown,Unknown,Unknown,False,Unknown,Unknown,AMI not found or deleted,Unknown,AMI not found or deleted,0,Unknown,0,Unknown,Unknown,Unknown
198161015548,us-east-1,i-5b08ffb7,ops-nat,Prod,running,Linux/Unix,t2.micro,t2,1,x86_64,2017-05-26 16:52:42,3114,8,gp3,No,10.0.0.164,54.165.3.156,subnet-c7270e81,vpc-ee3fcb8b,sg-6905d00c,,3.19,721,OnDemand,Downsize,t2.nano,Low CPU utilization (3.2%),ami-184dc970,amzn-ami-vpc-nat-hvm-2014.09.1.x86_64-gp2,Amazon Linux AMI 2014.09.1 x86_64 VPC NAT HVM GP2,2014-10-21T16:50:54.000Z,4074,137112412989,amazon,Linux/Unix,Linux/UNIX,x86_64,hvm,xen,available,machine,ebs,/dev/xvda,simple,False,Unknown,Unknown,Unknown,2022-08-28T23:59:59.000Z,True,Amazon Linux,High,AMI is 4074 days old (>1 year); Public AMI - verify source; AMI is deprecated; Missing Enhanced Networking (ENA) support; Not using IMDSv2 (Instance Metadata Service v2),Non-Compliant: Deprecated AMI,URGENT: Replace deprecated AMI immediately,1,/dev/xvda:gp2:8GB:Unencrypted,0,No tags,RunInstances,amazon/amzn-ami-vpc-nat-hvm-2014.09.1.x86_64-gp2
198161015548,us-east-1,i-4d83e062,production-cache-c,Prod,running,Linux/Unix,m3.medium,m3,1,x86_64,2025-09-12 20:41:48,82,20,gp3,No,10.1.3.26,,subnet-aa21bc90,vpc-239a0f46,"sg-9ba1b9fe,sg-f7a1b992,sg-11abb374",,1.08,721,OnDemand,Downsize,m3.medium,Low CPU (1.1%) but no smaller type available,Unknown,AMI not found or deleted,AMI not found or deleted,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,Unknown,Unknown,Unknown,Unknown,False,Unknown,Unknown,AMI not found or deleted,Unknown,AMI not found or deleted,0,Unknown,0,Unknown,Unknown,Unknown
198161015548,us-east-2,i-09c5f37643e036865,mysql-upgrade,Prod,stopped,Linux/Unix,t2.large,t2,2,x86_64,2023-05-23 19:36:29,925,20,gp3,No,10.120.0.188,,subnet-09e1d2ddc9b00fbc4,vpc-0ebbfc74c22816763,sg-0eac1f6fcc2ad6a4c,,,0,OnDemand,NoData,t2.large,Insufficient CloudWatch data,ami-05ae0dcee5e649f4f,AMI-Staging-Database,[Copied ami-0e5e142d77d52bef0 (AMI-Staging-Database) from us-east-1] AMI-Staging-Database,2022-10-27T20:26:39.000Z,1146,198161015548,Unknown,Linux/Unix,Linux/UNIX,x86_64,hvm,xen,available,machine,ebs,/dev/sda1,simple,False,Unknown,Unknown,Unknown,Not deprecated,False,Other/Custom,High,AMI is 1146 days old (>1 year); Third-party AMI owner: 198161015548; Missing Enhanced Networking (ENA) support; Not using IMDSv2 (Instance Metadata Service v2),Non-Compliant: AMI >1 year old,HIGH PRIORITY: Update AMI (>1 year old),4,/dev/sda1:gp2:20GB:Unencrypted; /dev/sdf:gp2:105GB:Unencrypted; /dev/sdb:Unknown; /dev/sdc:Unknown,1,Name=AMI-Staging-Database,RunInstances,198161015548/AMI-Staging-Database
198161015548,us-east-2,i-05e80ed206905b62f,staging-database-source,Prod,stopped,Linux/Unix,t2.large,t2,2,x86_64,2023-01-17 23:34:18,1051,20,gp2,No,10.120.3.24,,subnet-0e68ce302e8f6761a,vpc-0ebbfc74c22816763,sg-089068601441e5616,,,0,OnDemand,NoData,t2.large,Insufficient CloudWatch data,ami-05ae0dcee5e649f4f,AMI-Staging-Database,[Copied ami-0e5e142d77d52bef0 (AMI-Staging-Database) from us-east-1] AMI-Staging-Database,2022-10-27T20:26:39.000Z,1146,198161015548,Unknown,Linux/Unix,Linux/UNIX,x86_64,hvm,xen,available,machine,ebs,/dev/sda1,simple,False,Unknown,Unknown,Unknown,Not deprecated,False,Other/Custom,High,AMI is 1146 days old (>1 year); Third-party AMI owner: 198161015548; Missing Enhanced Networking (ENA) support; Not using IMDSv2 (Instance Metadata Service v2),Non-Compliant: AMI >1 year old,HIGH PRIORITY: Update AMI (>1 year old),4,/dev/sda1:gp2:20GB:Unencrypted; /dev/sdf:gp2:105GB:Unencrypted; /dev/sdb:Unknown; /dev/sdc:Unknown,1,Name=AMI-Staging-Database,RunInstances,198161015548/AMI-Staging-Database
198161015548,us-east-2,i-0a4890503b8ec083b,new-bastion,Prod,stopped,Linux/Unix,t2.micro,t2,1,x86_64,2023-09-14 22:00:41,811,8,gp3,No,10.121.0.70,3.13.71.89,subnet-01e9e2c7d87402de5,vpc-0a17197329c88d13b,sg-0840f784cb612d50a,,,0,OnDemand,NoData,t2.micro,Insufficient CloudWatch data,ami-0578f2b35d0328762,al2023-ami-2023.0.20230419.0-kernel-6.1-x86_64,Amazon Linux 2023 AMI 2023.0.20230419.0 x86_64 HVM kernel-6.1,2023-04-18T23:37:42.000Z,972,137112412989,amazon,Linux/Unix,Linux/UNIX,x86_64,hvm,xen,available,machine,ebs,/dev/xvda,simple,True,Unknown,uefi-preferred,v2.0,2023-08-25T17:28:00.000Z,True,Amazon Linux,High,AMI is 972 days old (>1 year); Public AMI - verify source; AMI is deprecated,Non-Compliant: Deprecated AMI,URGENT: Replace deprecated AMI immediately,1,/dev/xvda:gp3:8GB:Unencrypted,0,No tags,RunInstances,amazon/al2023-ami-2023.0.20230419.0-kernel-6.1-x86_64
198161015548,us-east-2,i-02904074725f14fa6,staging-database-replica,Prod,stopped,Linux/Unix,t3.medium,t3,2,x86_64,2023-10-20 18:35:24,776,20,gp3,No,10.120.1.67,,subnet-091d0f3940f4e7512,vpc-0ebbfc74c22816763,"sg-0cd6991a0cb4fad5f,sg-0ef78d353a768ba16,sg-093c5f5acddcbfc53,sg-089068601441e5616",,,0,OnDemand,NoData,t3.medium,Insufficient CloudWatch data,ami-05ae0dcee5e649f4f,AMI-Staging-Database,[Copied ami-0e5e142d77d52bef0 (AMI-Staging-Database) from us-east-1] AMI-Staging-Database,2022-10-27T20:26:39.000Z,1146,198161015548,Unknown,Linux/Unix,Linux/UNIX,x86_64,hvm,xen,available,machine,ebs,/dev/sda1,simple,False,Unknown,Unknown,Unknown,Not deprecated,False,Other/Custom,High,AMI is 1146 days old (>1 year); Third-party AMI owner: 198161015548; Missing Enhanced Networking (ENA) support; Not using IMDSv2 (Instance Metadata Service v2),Non-Compliant: AMI >1 year old,HIGH PRIORITY: Update AMI (>1 year old),4,/dev/sda1:gp2:20GB:Unencrypted; /dev/sdf:gp2:105GB:Unencrypted; /dev/sdb:Unknown; /dev/sdc:Unknown,1,Name=AMI-Staging-Database,RunInstances,198161015548/AMI-Staging-Database
198161015548,us-west-1,i-015d864871acc6280,ops-search,Prod,running,Linux/Unix,m3.large,m3,2,x86_64,2022-10-18 18:48:42,1143,100,gp2,No,192.168.0.132,54.177.56.90,subnet-08fc19bfab67ca23c,vpc-09d7f3d3079d4287a,sg-0819c09f25f3cae79,,0.33,720,OnDemand,Downsize,m3.large,Low CPU (0.3%) but no smaller type available,ami-08b2583b94ceaf6e7,ops-search-d-AMI,[Copied ami-090751b695d4d7826 from us-east-1] ops-search-d-AMI,2022-10-18T16:44:49.000Z,1155,198161015548,Unknown,Linux/Unix,Linux/UNIX,x86_64,paravirtual,xen,available,machine,ebs,/dev/sda1,Unknown,False,Unknown,Unknown,Unknown,Not deprecated,False,Other/Custom,High,AMI is 1155 days old (>1 year); Third-party AMI owner: 198161015548; Missing Enhanced Networking (ENA) support; Not using IMDSv2 (Instance Metadata Service v2),Non-Compliant: AMI >1 year old,HIGH PRIORITY: Update AMI (>1 year old),4,/dev/sda1:gp2:100GB:Unencrypted; /dev/sdd:gp2:1000GB:Unencrypted; /dev/sdb:Unknown; /dev/sdc:Unknown,0,No tags,RunInstances,198161015548/ops-search-d-AMI
