"Region","VolumeId","VolumeType","SizeGB","State","IOPS","Encrypted","AttachedTo"
"us-east-1","vol-022e55231d428c4cf","sc1","4096","available",,"False","Unattached"
"us-east-1","vol-0c1863a74f22edc7d","gp3","50","in-use","3000","True","i-07cbd6be0a1c90f79"
"us-east-1","vol-00aedad067ea42874","gp3","2048","in-use","3000","False","i-03969fef458cd4167"
"us-east-1","vol-09f64da8e3bf1ce9f","gp3","100","in-use","3000","True","i-0dbb4653a8cfca4ae"
"us-east-1","vol-08aa3182591b65a18","gp3","200","in-use","3000","False","i-0f33f800c022e418a"
"us-east-1","vol-918ef94d","gp3","1000","in-use","3000","False","i-0f755cb1"
"us-east-1","vol-5652fdb6","gp3","100","in-use","3000","False","i-2c7f76f9"
"us-east-1","vol-0c70448b73f2d8dca","sc1","3072","available",,"False","Unattached"
"us-east-1","vol-72e4d2bb","gp3","20","in-use","3000","False","i-d75fe03e"
"us-east-1","vol-068df5c437cdf9c7b","gp3","100","in-use","3000","False","i-03969fef458cd4167"
"us-east-1","vol-0680d6a6b76debdde","gp3","100","available","3000","False","Unattached"
"us-east-1","vol-440f9901","gp3","300","in-use","3000","False","i-a409368e"
"us-east-1","vol-3fc694a3","gp3","2048","in-use","6144","False","i-88be045c"
"us-east-1","vol-06a7d20eed2f06c38","gp3","8","in-use","3000","False","i-0a086d7d2a4ba25a9"
"us-east-1","vol-09f5796cb7377c942","gp3","6144","in-use","9216","False","i-0d6e0ade"
"us-east-1","vol-059b6d9e0dbc3b20e","gp3","6144","in-use","12288","False","i-d07743c7"
"us-east-1","vol-048499970c2a1c346","gp3","2048","in-use","6144","False","i-01400e7184ad7c200"
"us-east-1","vol-0dd862bcbf4ec2549","gp3","25","in-use","3000","False","i-0003603fb4581513a"
"us-east-1","vol-7eb4b9f0","gp3","6144","in-use","9216","False","i-d75fe03e"
"us-east-1","vol-0e3108f54675e2b82","gp3","100","in-use","3000","True","i-0b8a939d50617cfec"
"us-east-1","vol-023fb44586cb1f20f","gp3","50","available","3000","False","Unattached"
"us-east-1","vol-3b1aeef3","gp3","3000","in-use","9000","False","i-9da1e574"
"us-east-1","vol-0baf647b19bccf1af","gp3","6144","in-use","3000","False","i-5141feb8"
"us-east-1","vol-049359d24a8f2ed9e","gp3","30","available","3000","False","Unattached"
"us-east-1","vol-0bc9844e7c34bb5f0","gp3","100","available","3000","False","Unattached"
"us-east-1","vol-0554febacc86f807a","gp2","30","available","100","False","Unattached"
"us-east-1","vol-03fb82f27882d5be3","gp3","30","in-use","3000","False","i-0bafd0f85880cfc37"
"us-east-1","vol-03ae17594d49d4216","gp3","200","in-use","3000","True","i-000051928735a1912"
"us-east-1","vol-0c2c2c7938629d7fe","gp3","100","in-use","3000","True","i-00866c38318c69753"
"us-east-1","vol-0832bc602052d1392","gp3","2048","in-use","6144","False","i-059b953a2e312a39c"
"us-east-1","vol-08135236cabc40507","gp3","100","available","3000","True","Unattached"
"us-east-1","vol-097bf20f0407e7fd9","gp3","105","in-use","3000","False","i-05bc73a0c7e562ce0"
"us-east-1","vol-0159e4f440dde8be5","gp3","30","available","3000","False","Unattached"
"us-east-1","vol-064bd9f39148de0f6","gp3","6144","in-use","3000","False","i-01008e20280904c67"
"us-east-1","vol-05c39509e32abdeae","gp3","100","available","3000","False","Unattached"
"us-east-1","vol-09141d53b5d0abde9","gp2","30","available","100","False","Unattached"
"us-east-1","vol-03d800afea33a9caf","gp3","20","in-use","3000","False","i-0c1358c5d58d9527a"
"us-east-1","vol-0c9e84b11d1b21a6b","gp3","50","available","3000","False","Unattached"
"us-east-1","vol-0492c454b8b4ab619","gp3","100","in-use","3000","False","i-01400e7184ad7c200"
"us-east-1","vol-ae374502","gp3","20","in-use","3000","False","i-d07743c7"
"us-east-1","vol-0c5a07a9500cef3b5","gp2","30","available","100","False","Unattached"
"us-east-1","vol-0bc403f5d6cd362c0","gp3","100","in-use","3000","False","i-09abb9e2cfa017272"
"us-east-1","vol-9ad6787a","gp3","2000","in-use","6000","False","i-53d3da86"
"us-east-1","vol-0bd416004da427a74","gp3","3000","in-use","9000","False","i-0f4443498033bdbf8"
"us-east-1","vol-0170ec57cd44d67b3","sc1","3072","available",,"False","Unattached"
"us-east-1","vol-0a29d0328c5f5b457","gp3","2048","in-use","3000","False","i-043114ca52c5e8164"
"us-east-1","vol-093dd0ca5f627f999","gp3","30","available","3000","False","Unattached"
"us-east-1","vol-04c5fc41b22e819d7","sc1","6144","available",,"False","Unattached"
"us-east-1","vol-0c53908acd7ed4e23","gp3","100","in-use","3000","False","i-060098e5e6b5ad472"
"us-east-1","vol-0564a0474f61bac91","gp3","8","in-use","3000","False","i-0d106f55f0dd4fcdc"
"us-east-1","vol-89ec0d69","gp3","2000","in-use","6000","False","i-6545ccb0"
"us-east-1","vol-2e52fdce","gp3","100","in-use","3000","False","i-d87e770d"
"us-east-1","vol-00585fd3f6288881f","gp3","100","available","3000","False","Unattached"
"us-east-1","vol-00cee4c5494651d9d","gp3","105","available","3000","False","Unattached"
"us-east-1","vol-00985f88762d2a739","gp3","10","in-use","3000","False","i-0478dda6d47023e11"
"us-east-1","vol-0abbc2b879298fc63","gp2","30","available","100","False","Unattached"
"us-east-1","vol-04f464e5","gp3","50","in-use","3000","False","i-060794d4"
"us-east-1","vol-e5d8ee2c","gp3","20","in-use","3000","False","i-5141feb8"
"us-east-1","vol-08e78e57b101edb81","gp3","6144","in-use","9216","False","i-0c1358c5d58d9527a"
"us-east-1","vol-0732e11f25ca1075b","gp3","40","available","3000","False","Unattached"
"us-east-1","vol-02881fbcf30241db1","gp3","8","in-use","3000","False","i-0490009a252a79db0"
"us-east-1","vol-0e381b8867cfb5ed8","gp3","6144","in-use","3000","False","i-0bafd0f85880cfc37"
"us-east-1","vol-bb39dc14","gp3","2048","in-use","6144","False","i-d87e770d"
"us-east-1","vol-074e389f583e4689e","sc1","6144","available",,"False","Unattached"
"us-east-1","vol-4113bca1","gp3","100","in-use","3000","False","i-53d3da86"
"us-east-2","vol-08628b5864b9cc688","gp2","105","available","315","False","Unattached"
"us-east-2","vol-073530f7a7dd4f714","gp2","105","in-use","315","False","i-05e80ed206905b62f"
"us-east-2","vol-043d894734dbb46c4","gp2","105","available","315","False","Unattached"
"us-east-2","vol-053e9798f012ccb98","gp3","8","in-use","3000","False","i-0a4890503b8ec083b"
"us-east-2","vol-083289eb2ba52fc5e","gp3","105","in-use","3000","False","i-09c5f37643e036865"
"us-east-2","vol-023706ade22f812ad","gp2","105","available","315","False","Unattached"
"us-east-2","vol-03fa22ed1cc2115ce","gp2","20","in-use","100","False","i-05e80ed206905b62f"
"us-east-2","vol-0a43b720cf53253a6","gp2","105","available","315","False","Unattached"
"us-east-2","vol-0620dee75aed951db","gp3","20","in-use","3000","False","i-02904074725f14fa6"
"us-east-2","vol-0d563e0800d536633","gp3","105","in-use","3000","False","i-02904074725f14fa6"
"us-east-2","vol-06c7f1c8a8659fba6","gp2","105","available","315","False","Unattached"
"us-east-2","vol-05278b69a8dc0f4a5","gp2","105","available","315","False","Unattached"
"us-east-2","vol-06d06f94a5b281721","gp3","20","in-use","3000","False","i-09c5f37643e036865"
"us-east-2","vol-0caa69e48de4092c8","gp3","105","available","3000","True","Unattached"
"us-east-2","vol-0bcf423afbfd74b46","gp2","105","available","315","False","Unattached"
"us-east-2","vol-04d543b7e85aa194c","gp2","105","available","315","False","Unattached"
"us-east-2","vol-06eda403c013e1ea1","gp2","105","available","315","False","Unattached"
"us-east-2","vol-022d4893dc342bfc6","gp2","105","available","315","False","Unattached"
"us-east-2","vol-0b5c521fc0866568c","gp2","105","available","315","False","Unattached"
"us-west-1","vol-021a3dbde78804acf","gp2","1000","in-use","3000","False","i-0cd3b6aaf9dadb07d"
"us-west-1","vol-06086e69a36c34d33","gp2","100","in-use","300","False","i-0cd3b6aaf9dadb07d"
"us-west-1","vol-0969857cac4a6d1fd","gp2","1000","in-use","3000","False","i-015d864871acc6280"
"us-west-1","vol-02ee27a3c47655edf","gp2","100","in-use","300","False","i-015d864871acc6280"
"us-west-2","vol-00568b1222a3c6349","gp2","30","available","100","False","Unattached"
"us-west-2","vol-08465ecd57700c9f5","gp2","30","available","100","False","Unattached"
"us-west-2","vol-057b92f513617e158","gp2","30","available","100","False","Unattached"
"us-west-2","vol-0c97acb9b0fff0974","gp2","30","available","100","False","Unattached"
"us-west-2","vol-0f9bf720bba7d4d98","gp2","30","available","100","False","Unattached"
"us-west-2","vol-04d91d793866bb9d8","gp2","30","available","100","False","Unattached"
"us-west-2","vol-0de77b178635ea05c","gp2","30","in-use","100","False","i-09ccc6ac0b3f0339a"
"us-west-2","vol-090a7f8216c4fe4ef","gp2","30","available","100","False","Unattached"
"us-west-2","vol-0587e099a2e1da13a","gp2","30","available","100","False","Unattached"
"us-west-2","vol-0925e71c4fab84e28","gp2","30","available","100","False","Unattached"
"us-west-2","vol-06591921c83f13874","gp2","30","available","100","False","Unattached"
"us-west-2","vol-0e72fe55c217aaa03","gp2","30","available","100","False","Unattached"
"us-west-2","vol-0d568d197a97c3f54","gp2","30","available","100","False","Unattached"
"us-west-2","vol-03000f4e4adcdcd62","gp2","30","available","100","False","Unattached"
"us-west-2","vol-030927c3c57f97ca5","gp2","30","available","100","False","Unattached"
"us-west-2","vol-022ee4bd00df52deb","gp2","30","available","100","False","Unattached"
"us-west-2","vol-0c83b15a637f727d4","gp2","30","available","100","False","Unattached"
"us-west-2","vol-08b6934a4f6331166","gp2","30","available","100","False","Unattached"
"us-west-2","vol-09f1cd34142f6282d","gp2","30","available","100","False","Unattached"
"us-west-2","vol-0fd2a580004fb37b2","gp2","30","available","100","False","Unattached"
"us-west-2","vol-048e8bd0820c010cd","gp2","30","available","100","False","Unattached"
