"InstanceId","Type","InstanceType","State","Platform","PrivateIP","PublicIP","Region","LaunchTime","Application","Environment"
"i-07cbd6be0a1c90f79","EC2","c4.xlarge","running","Linux","10.0.0.117","3.213.81.97","us-east-1","2020-07-29T21:00:42+00:00","General/Unknown","Production"
"i-029c9d615067b36c1","EC2","t3.large","running","Linux","10.0.2.130","54.173.60.246","us-east-1","2021-05-03T21:33:35+00:00","General/Unknown","Production"
"i-0dbb4653a8cfca4ae","EC2","c4.xlarge","stopped","windows","10.0.2.47","None","us-east-1","2021-06-11T20:16:23+00:00","General/Unknown","Production"
"i-0c7c653e29bd1b0c4","EC2","c4.large","running","Linux","10.0.2.186","35.172.114.110","us-east-1","2021-07-23T18:54:41+00:00","General/Unknown","Production"
"i-00866c38318c69753","EC2","c4.xlarge","running","Linux","10.0.1.163","None","us-east-1","2021-08-06T19:17:38+00:00","General/Unknown","Production"
"i-000051928735a1912","EC2","m5a.xlarge","running","Linux","10.0.2.133","54.209.213.194","us-east-1","2021-08-13T19:02:21+00:00","General/Unknown","Production"
"i-0003603fb4581513a","EC2","t4g.large","stopped","Linux","10.1.0.10","None","us-east-1","2021-08-02T23:22:11+00:00","General/Unknown","Production"
"i-03969fef458cd4167","EC2","c4.2xlarge","running","Linux","10.1.3.198","None","us-east-1","2023-06-16T22:28:37+00:00","General/Unknown","Production"
"i-0b794f52c9e2278b0","EC2","c4.xlarge","running","windows","10.1.3.238","100.25.215.17","us-east-1","2025-05-28T20:47:22+00:00","General/Unknown","Production"
"i-043114ca52c5e8164","EC2","c4.4xlarge","running","Linux","10.1.1.63","None","us-east-1","2022-10-18T15:13:59+00:00","General/Unknown","Production"
"i-0f33f800c022e418a","EC2","c3.xlarge","running","windows","10.1.1.184","34.233.126.95","us-east-1","2025-05-28T20:48:12+00:00","General/Unknown","Production"
"i-01008e20280904c67","EC2","r5a.large","running","Linux","10.1.1.224","None","us-east-1","2024-05-06T20:18:24+00:00","General/Unknown","Production"
"i-0bafd0f85880cfc37","EC2","t3.medium","running","Linux","10.1.1.135","None","us-east-1","2023-10-23T21:19:24+00:00","General/Unknown","Production"
"i-0c1358c5d58d9527a","EC2","t2.medium","running","Linux","10.1.3.25","None","us-east-1","2023-10-31T17:32:35+00:00","General/Unknown","Production"
