"AccountId","AccountName","Region","InstanceId","InstanceType","State","Platform","Name","Lifecycle","HourlyRate","MonthlyCost","PotentialMonthlyCost"
"010928211854","Audit","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","Uptime Robot","on-demand","0.0116","0","8.47"
"010928211854","Audit","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","KSE-SecOps","on-demand","0.0116","0","8.47"
"010928211854","Audit","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","N/A","on-demand","0.0116","0","8.47"
"010928226815","AFT-Management","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","Kali Linux","on-demand","0.0464","0","33.87"
"010928226815","AFT-Management","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","N/A","on-demand","0.0162","0","11.83"
"010928226815","AFT-Management","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","Ansible","on-demand","0.0116","0","8.47"
"010928226815","AFT-Management","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","Uptime Robot","on-demand","0.0116","0","8.47"
"010928226815","AFT-Management","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","KSE-SecOps","on-demand","0.0116","0","8.47"
"010928226815","AFT-Management","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","N/A","on-demand","0.0116","0","8.47"
"450320546527","IT Solutions","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","Kali Linux","on-demand","0.0464","0","33.87"
"450320546527","IT Solutions","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","N/A","on-demand","0.0162","0","11.83"
"450320546527","IT Solutions","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","Ansible","on-demand","0.0116","0","8.47"
"450320546527","IT Solutions","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","Uptime Robot","on-demand","0.0116","0","8.47"
"450320546527","IT Solutions","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","KSE-SecOps","on-demand","0.0116","0","8.47"
"450320546527","IT Solutions","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","N/A","on-demand","0.0116","0","8.47"
"946447852237","Cortado Production","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","Kali Linux","on-demand","0.0464","0","33.87"
"946447852237","Cortado Production","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","N/A","on-demand","0.0162","0","11.83"
"946447852237","Cortado Production","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","Ansible","on-demand","0.0116","0","8.47"
